#{"t_start": 1766930957.4524403, "env_id": "None"}
r,l,t
1.0,18,71.468153
-1.0,18,71.514926
-4.0,18,71.568557
-3.0,20,71.627274
-4.0,21,71.684371
-4.0,18,71.733935
3.0,20,71.79255
4.0,18,71.843447
2.0,18,71.898764
-3.0,20,71.943014
4.0,25,72.558485
0.0,18,72.596814
0.0,18,72.632266
-1.0,18,72.672169
4.0,20,72.715917
4.0,18,72.754426
-1.0,18,72.792747
3.0,18,72.832361
-1.0,18,72.867888
2.0,18,72.901819
0.0,19,72.941194
2.0,20,72.989238
-4.0,18,73.028267
5.0,19,73.06773
-2.0,18,73.674174
3.0,20,73.717188
2.0,18,73.763879
-1.0,18,73.797207
-4.0,18,73.854249
-3.0,20,73.896824
-2.0,18,73.946155
0.0,20,74.004807
4.0,18,74.043485
-1.0,20,74.085102
-4.0,21,74.125813
2.0,18,74.158059
-1.0,20,74.208212
2.0,18,74.75609
-3.0,18,74.793467
3.0,20,74.832162
-2.0,20,74.872216
4.0,23,74.917721
-2.0,20,74.958416
-4.0,18,74.989305
-4.0,18,75.040599
3.0,22,75.088011
0.0,20,75.132159
2.0,19,75.17216
-5.0,18,75.208069
-2.0,22,75.251317
-4.0,20,75.817822
-3.0,22,75.868026
4.0,18,75.905282
-1.0,18,75.940714
-4.0,18,75.973068
-3.0,18,76.023485
-4.0,18,76.062257
-1.0,20,76.101667
4.0,19,76.1393
4.0,21,76.185417
-4.0,21,76.229372
-4.0,18,76.264901
-4.0,21,76.312271
4.0,18,76.344057
-4.0,18,76.8926
2.0,18,76.934241
1.0,18,76.975022
4.0,20,77.008281
-2.0,18,77.05622
0.0,21,77.091785
2.0,18,77.139037
3.0,21,77.182296
5.0,18,77.217927
-1.0,18,77.249444
-2.0,18,77.291028
-4.0,20,77.332155
-4.0,20,77.377081
0.0,20,77.938938
3.0,20,77.98045
-4.0,18,78.018138
4.0,18,78.056527
4.0,20,78.092183
0.0,20,78.138936
1.0,20,78.180788
1.0,18,78.218121
0.0,18,78.249789
-1.0,21,78.297196
3.0,21,78.339207
-2.0,18,78.380746
-1.0,18,78.418036
-4.0,23,78.973125
2.0,22,79.022175
-2.0,18,79.060495
3.0,20,79.092546
4.0,18,79.140083
-2.0,18,79.172081
3.0,20,79.217735
-2.0,18,79.250945
3.0,23,79.297673
2.0,20,79.345136
5.0,20,79.389656
2.0,20,79.432119
3.0,20,79.472062
2.0,18,80.027831
-6.0,18,80.066272
-2.0,18,80.103166
-2.0,20,80.138933
1.0,18,80.181222
-4.0,18,80.222036
1.0,20,80.261513
0.0,20,80.304702
-1.0,20,80.345397
-4.0,18,80.38808
-3.0,18,80.426413
1.0,19,80.465418
2.0,18,80.497474
3.0,21,80.539267
-3.0,21,81.108442
-2.0,18,81.150808
-1.0,18,81.192371
2.0,18,81.230769
-2.0,18,81.267598
2.0,18,81.298945
-3.0,18,81.341146
-3.0,18,81.384042
-1.0,18,81.422432
2.0,20,81.458443
3.0,21,81.509767
-2.0,18,81.547406
5.0,21,81.589289
4.0,22,82.150102
-1.0,18,82.187075
4.0,18,82.22226
4.0,18,82.263088
-2.0,18,82.300261
4.0,22,82.346424
1.0,18,82.38671
1.0,18,82.423455
0.0,18,82.458083
-5.0,18,82.48929
0.0,18,82.53323
-2.0,20,82.572427
1.0,18,82.61133
3.0,18,82.642694
-2.0,23,83.222054
-1.0,18,83.258415
-3.0,21,83.300702
-1.0,18,83.339251
2.0,18,83.381302
-1.0,24,83.432703
-2.0,18,83.468067
4.0,19,83.508132
-2.0,18,83.539173
-3.0,18,83.582301
3.0,21,83.622205
-2.0,18,83.660439
-3.0,18,83.691791
-1.0,18,84.240825
-4.0,18,84.27813
1.0,19,84.322294
-1.0,18,84.35842
3.0,22,84.405805
2.0,18,84.443957
4.0,21,84.488945
-4.0,18,84.522484
-4.0,18,84.565502
0.0,18,84.60085
-3.0,18,84.639301
5.0,18,84.674759
1.0,18,84.717911
4.0,18,84.756427
-4.0,18,85.298319
4.0,24,85.345862
-4.0,18,85.391576
1.0,18,85.429513
-1.0,20,85.4723
4.0,20,85.50803
-2.0,18,85.549712
-1.0,20,85.591717
0.0,20,85.634922
-5.0,20,85.677278
-1.0,18,85.70799
0.0,18,85.753363
2.0,18,85.789638
-1.0,18,86.339073
-4.0,18,86.375906
1.0,18,86.416639
-3.0,20,86.458389
-2.0,18,86.491859
-4.0,18,86.534717
-4.0,18,86.57201
-3.0,21,86.613901
1.0,18,86.645487
-3.0,20,86.69313
5.0,23,86.745271
4.0,18,86.784266
4.0,20,86.822063
-4.0,18,86.858344
3.0,18,87.402482
-1.0,18,87.442378
-3.0,22,87.486381
-4.0,18,87.5223
3.0,19,87.558137
4.0,19,87.596505
2.0,18,87.638996
3.0,18,87.672513
-2.0,18,87.708304
2.0,18,87.7533
3.0,20,87.795608
4.0,23,87.844023
-1.0,20,87.881944
2.0,18,88.445899
-3.0,18,88.48231
2.0,19,88.522091
2.0,21,88.56883
1.0,20,88.608173
5.0,18,88.646847
-2.0,18,88.682959
1.0,18,88.725628
-1.0,18,88.761766
-5.0,18,88.800685
3.0,20,88.840039
4.0,20,88.889071
-1.0,18,88.928638
2.0,18,88.965052
3.0,18,89.531182
-1.0,18,89.566433
4.0,20,89.599075
-1.0,18,89.645804
4.0,21,89.689256
-1.0,20,89.73095
-1.0,24,89.783036
1.0,20,89.822131
1.0,18,89.860459
-3.0,19,89.897694
-4.0,18,89.93226
1.0,19,89.976946
-1.0,20,90.018005
-4.0,18,90.567972
4.0,18,90.599685
-4.0,18,90.641198
-2.0,18,90.681278
0.0,18,90.717987
4.0,18,90.759126
-2.0,18,90.79919
-2.0,21,90.839919
-4.0,18,90.877611
0.0,18,90.918037
-4.0,18,90.946383
5.0,18,90.989182
0.0,20,91.033326
1.0,18,91.070555
3.0,18,91.622294
4.0,18,91.658002
1.0,18,91.694893
-4.0,18,91.737551
1.0,18,91.775415
-3.0,20,91.808788
3.0,20,91.858262
3.0,18,91.892318
-2.0,18,91.932112
-1.0,18,91.972324
0.0,21,92.015164
0.0,18,92.054978
-4.0,20,92.097572
-4.0,20,92.13913
-1.0,18,92.672358
5.0,18,92.711384
-1.0,18,92.758141
-4.0,18,92.796065
0.0,18,92.832083
2.0,18,92.868227
3.0,18,92.899567
2.0,18,92.941809
-1.0,19,92.982395
4.0,24,93.034096
4.0,18,93.070827
-1.0,20,93.112769
-4.0,18,93.145504
-1.0,18,93.708354
0.0,21,93.752903
4.0,18,93.794318
-2.0,18,93.830402
0.0,18,93.868412
-2.0,20,93.908066
-5.0,23,93.945766
-4.0,18,93.996572
-3.0,20,94.037599
-1.0,21,94.083997
-4.0,18,94.117706
-5.0,18,94.158203
-5.0,18,94.193888
2.0,21,94.239215
2.0,18,94.784798
-4.0,18,94.820594
1.0,23,94.868448
0.0,18,94.900143
0.0,19,94.946951
4.0,20,94.981907
-3.0,18,95.028936
2.0,21,95.075977
-2.0,18,95.113668
5.0,18,95.151062
2.0,20,95.192943
4.0,19,95.231248
1.0,20,95.272168
1.0,18,95.833806
-4.0,18,95.872398
-3.0,21,95.917732
-1.0,20,95.958172
4.0,19,95.996375
-3.0,18,96.041852
-3.0,19,96.08201
2.0,20,96.122401
-5.0,18,96.158357
6.0,18,96.193254
-1.0,19,96.240794
